rank,neighbourhood,center_lat,center_lon,fx_ad_score,n_foreign,n_airbnb,n_hotels,n_attractions,n_zti,n_commercial,n_atm_scarcity,n_fx_scarcity,airbnb_count,hotel_count,atm_count_500m,fx_bureau_count_500m,business_explanation
1,Buttes-Montmartre,48.88400000000008,2.3369999999999873,0.8239466338319084,0.8397696421912002,0.9936046201177203,1.0,0.19047619047619047,0.9141632712355117,0.9121739363555932,0.3214610050012612,0.2568710612201684,2419,45,5,6,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
2,Opéra,48.872000000000064,2.346999999999986,0.8202054450166185,0.8817071996293128,0.9188480922709138,1.0,0.09523809523809523,0.7317921232272473,1.0,0.2495729200641539,0.23064594068349803,2237,51,9,8,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
3,Luxembourg,48.85200000000004,2.340999999999987,0.8137690106852158,0.9669863660113411,0.6140714787416255,1.0,0.14285714285714285,1.0,1.0,0.2230937644403435,0.15904112618454977,1495,48,10,10,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
4,Louvre,48.86200000000005,2.346999999999986,0.8027283553377075,0.9692682648991465,0.9311705968610468,0.6066052572455598,0.09523809523809523,1.0,1.0,0.16771188988067426,0.25420823489548944,2267,27,14,6,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
5,Luxembourg,48.85400000000004,2.3369999999999873,0.8012156603526129,0.9705488972005154,0.5573879576270139,1.0,0.047619047619047616,1.0,1.0,0.25557757543204385,0.2598751865250997,1357,55,9,6,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
6,Opéra,48.87600000000007,2.3429999999999866,0.7897016062114135,0.8258546568287368,0.724974020052822,1.0,0.047619047619047616,0.833435274620784,1.0,0.12297992779228845,0.44306933829537304,1765,64,16,0,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
7,Buttes-Montmartre,48.88400000000008,2.340999999999987,0.7895134354031393,0.8585431459074551,1.0,0.8088070096607465,0.09523809523809523,1.0,0.8444813811962141,0.3242167230713496,0.2853606501776125,2501,36,5,5,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
8,Luxembourg,48.85400000000004,2.3329999999999878,0.7849059736801391,0.9567062787767646,0.4657906735070256,1.0,0.09523809523809523,1.0,1.0,0.29443975494088925,0.33325328195212567,1134,51,6,3,high foreign tourist ratio; strong hotel cluster; in/near international tourism zone; active commercial street
9,Bourse,48.87000000000006,2.3429999999999866,0.7847052671046588,0.9005846787392329,0.6958107591895074,1.0,0.09523809523809523,0.8526276026918116,0.8954183533953508,0.13250621824366804,0.15767103604933558,1694,46,16,10,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
10,Opéra,48.880000000000074,2.340999999999987,0.7821698541333982,0.8208360590704099,0.9184373421179094,1.0,0.0,0.6049788730208492,1.0,0.20962539783496345,0.3663599282606286,2236,48,11,2,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
11,Opéra,48.880000000000074,2.3449999999999864,0.7718142799693631,0.8322992356981348,0.8436808142711028,1.0,0.0,0.6455214952002958,0.9396530924103906,0.1760377844519125,0.37427492740810037,2054,49,13,2,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
12,Buttes-Montmartre,48.88400000000008,2.3329999999999878,0.7717084328039087,0.8188343344487609,0.826840057997921,0.9436081779375375,0.14285714285714285,0.9982396439648052,0.7915337390418483,0.3215871976005533,0.3272750905060489,2013,42,7,3,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
13,Hôtel-de-Ville,48.86000000000005,2.3509999999999858,0.7711337083752023,0.9715652205946113,0.8580570696262579,0.44933722758930356,0.09523809523809523,1.0,1.0,0.21920872990476598,0.3137433213414881,2089,20,11,4,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
14,Entrepôt,48.872000000000064,2.3509999999999858,0.769031495102208,0.8869610060633886,1.0,0.8088070096607465,0.047619047619047616,0.4388400258618612,0.9771855982413334,0.2777032403200274,0.368628544568814,2557,36,8,2,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; active commercial street
15,Temple,48.864000000000054,2.3629999999999844,0.7674202040623797,0.9348025108304734,0.9619768583363791,0.47180408896876874,0.047619047619047616,0.8870476749655476,0.9986327444304436,0.3330479408457123,0.4594189402489897,2342,21,5,0,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
