rank,neighbourhood,center_lat,center_lon,fx_bureau_score,n_foreign,n_airbnb,n_hotels,n_attractions,n_zti,n_commercial,n_atm_scarcity,n_fx_scarcity,airbnb_count,hotel_count,atm_count_500m,fx_bureau_count_500m,business_explanation
1,Louvre,48.86200000000005,2.346999999999986,0.7992859821123597,0.9692682648991465,0.9311705968610468,0.6066052572455598,0.09523809523809523,1.0,1.0,0.16771188988067426,0.25420823489548944,2267,27,14,6,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
2,Entrepôt,48.872000000000064,2.348999999999986,0.7940419586595784,0.8797239014312858,1.0,0.9885419006964679,0.047619047619047616,0.5853947868601765,0.9470255489128973,0.28927660855976434,0.37437950730338493,2446,44,7,2,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
3,Temple,48.864000000000054,2.3629999999999844,0.7907539756503283,0.9348025108304734,0.9619768583363791,0.47180408896876874,0.047619047619047616,0.8870476749655476,0.9986327444304436,0.3330479408457123,0.4594189402489897,2342,21,5,0,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
4,Buttes-Montmartre,48.88400000000008,2.3369999999999873,0.7831979992187913,0.8397696421912002,0.9936046201177203,1.0,0.19047619047619047,0.9141632712355117,0.9121739363555932,0.3214610050012612,0.2568710612201684,2419,45,5,6,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
5,Hôtel-de-Ville,48.86000000000005,2.3509999999999858,0.7817136084264653,0.9715652205946113,0.8580570696262579,0.44933722758930356,0.09523809523809523,1.0,1.0,0.21920872990476598,0.3137433213414881,2089,20,11,4,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
6,Bourse,48.87000000000006,2.3449999999999864,0.7811271471430999,0.8970546106641928,0.9015965858447277,0.9885419006964679,0.09523809523809523,0.7861041572337875,0.9590895686442718,0.2531279524038554,0.16169563853355284,2195,44,10,10,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
7,Bourse,48.86600000000006,2.346999999999986,0.7786928605952551,0.9376159346573679,1.0,0.44933722758930356,0.047619047619047616,0.8403748766097321,1.0,0.23632636191177817,0.37626478483760206,2856,20,11,2,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
8,Hôtel-de-Ville,48.86000000000005,2.3549999999999853,0.7779790055127331,0.9664361227280105,1.0,0.22466861379465178,0.047619047619047616,1.0,1.0,0.2686513461203104,0.38761763608014,2478,10,8,1,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
9,Temple,48.86000000000005,2.3609999999999847,0.7778362866879874,0.9766426595921484,0.9324028473200601,0.17973489103572143,0.09523809523809523,1.0,1.0,0.35891362843887137,0.43849753725539303,2270,8,4,0,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
10,Bourse,48.86600000000006,2.3509999999999858,0.7767359665406587,0.9292201504802756,1.0,0.49427095034823393,0.09523809523809523,0.7428511008772466,1.0,0.2510558886896263,0.3546907540734932,3571,22,9,3,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
